,B_431FM2_FI,C_431BE1_JT,D_471FN1_FT01,E_471FN2_FT01,F_471FN3_FT01,G_471FN4_FT01,H_471FN5_FT01,I_471FN6_FT01,J_471FN7_FT01,K_471CLNKR_TT,F_451PC1_TT04,G_461KL1_TT01,H_461KL1_PYRO_MTR,I_Kiln RPM,J_461KL1_IZ,K_461KL1_JZ_EM,E _471FN2_PT01,F_471FN3_PT01,G_471FN4_PT01,H_471FN5_PT01,I_471FN6_PT01,J_471FN7_PT01
6123,260.8,100.1,646.2,1099.5,1287.0,1183.8,1060.0,737.3,705.3,530.0,1004.0,1075.1,1394.1,4.4,384.3,334.5,873.8,858.8,831.1,787.8,583.3,425.7
6124,260.8,100.2,649.6,1089.8,1259.7,1152.1,1080.8,698.8,650.3,530.0,970.3,1113.2,1261.7,4.5,388.8,346.6,945.1,904.3,835.7,760.8,488.4,343.5
6125,264.1,101.3,644.6,1101.2,1280.6,1149.3,1065.2,700.2,650.7,530.0,986.2,1140.4,1340.0,4.5,390.5,349.3,908.3,893.8,836.6,782.9,529.0,362.3
6126,270.0,102.5,648.3,1083.4,1217.4,1081.6,1015.8,887.8,859.6,530.0,991.4,1088.0,1178.7,4.4,345.7,292.7,939.3,910.9,843.7,803.0,661.5,498.9
6127,252.2,97.8,618.4,1083.0,1271.3,1025.0,968.1,684.9,685.4,530.0,909.1,1112.1,1005.3,3.7,368.4,267.1,883.4,891.9,848.2,818.4,578.8,418.1
6128,261.1,100.4,550.8,1009.4,1142.6,1054.1,997.6,715.5,688.8,530.0,1013.6,1125.7,1188.9,4.1,415.0,345.6,906.9,875.4,829.2,795.9,585.0,420.9
6129,269.4,102.9,579.3,1071.9,1218.7,1070.9,1004.9,781.3,772.9,530.0,996.0,1127.1,1210.9,4.2,413.2,355.3,924.9,894.6,841.6,807.9,625.8,465.6
6130,270.6,102.2,605.4,1099.3,1175.7,1083.1,989.4,846.1,847.7,530.0,990.1,1142.7,1177.5,4.3,424.1,373.4,922.3,880.6,841.6,814.3,677.7,515.1
6146,272.7,102.6,599.5,1150.6,1194.6,1151.2,1038.2,755.1,754.2,530.0,0.0,1087.5,1209.5,4.5,402.1,367.4,928.8,883.4,847.1,799.6,582.3,436.7
6147,274.3,103.3,632.3,1149.5,1211.9,1149.3,1040.8,796.5,795.8,530.0,593.9,1095.1,1214.2,4.7,394.6,367.7,930.6,895.6,845.5,794.1,598.8,459.4
6148,274.6,103.2,649.6,1148.9,1228.0,1150.7,1034.2,751.0,753.5,530.0,934.1,1088.0,1208.4,4.7,390.7,367.4,936.9,899.1,845.6,791.2,565.1,430.5
6149,274.4,103.3,650.2,1150.2,1221.0,1158.9,1058.7,806.9,807.1,530.0,978.1,1080.8,1247.8,4.8,385.6,370.0,934.8,879.5,833.3,783.8,585.0,457.3
6150,274.7,103.1,649.6,1150.2,1223.7,1138.1,1032.8,814.9,817.2,530.0,980.9,1066.6,1178.4,4.9,367.4,350.8,920.0,880.4,834.7,794.4,616.1,472.1
6151,274.5,104.0,663.2,1174.2,1272.8,1128.1,1048.7,700.4,699.7,530.0,960.8,1102.9,1301.7,4.9,391.6,381.5,919.4,892.8,836.5,783.0,524.2,393.1
6152,275.0,104.0,679.6,1196.2,1210.6,1162.9,1054.1,807.4,810.0,530.0,990.6,1083.7,1194.1,4.9,406.0,399.9,933.1,869.5,829.4,784.2,595.7,468.1
6153,274.7,103.7,679.7,1199.8,1240.0,1164.7,1058.2,760.2,762.0,530.0,999.7,1064.4,1211.8,4.9,397.8,388.2,930.5,877.9,831.8,782.5,561.3,432.7
6154,274.9,103.9,679.5,1194.4,1248.2,1215.5,1091.0,766.7,766.9,530.0,987.4,1054.7,1247.9,4.9,398.9,390.4,935.5,881.1,825.6,760.7,539.4,422.8
6155,268.1,102.0,680.8,1198.9,1281.3,1147.4,995.0,762.6,761.4,530.0,975.1,1077.7,1122.0,4.8,391.4,371.7,916.2,887.7,842.4,778.1,585.2,448.4
6156,274.5,104.1,679.1,1200.0,1292.4,1178.7,999.5,727.6,728.2,530.0,991.5,1084.4,1132.1,4.8,406.6,394.5,910.9,889.7,840.6,781.2,584.7,453.0
6157,266.3,101.4,679.9,1201.3,1321.2,1144.2,1023.5,699.8,699.9,530.0,990.3,1077.7,1126.8,4.8,418.3,407.6,911.6,898.0,848.2,805.3,582.3,438.1
6158,263.5,100.9,659.2,1200.4,1285.4,1174.6,1053.1,744.2,743.5,530.0,985.5,1053.0,1152.0,4.6,415.9,395.6,919.4,885.2,841.6,799.9,600.2,462.8
